country_code,region,NY.GDP.PCAP.CD,SP.POP.TOTL,SE.ADT.LITR.ZS,SE.XPD.TOTL.GD.ZS,SE.SEC.NENR.MA,SE.SEC.NENR.FE
MEX,Latin America & Caribbean,9616.64500568952,121858258,94.472282409668,5.23523998260498,79.07405,81.00084
MYS,East Asia & Pacific,9955.24370828938,30270962,NA,4.89486980438232,NA,NA
MOZ,Sub-Saharan Africa,589.859028149831,27042002,56.0390014648438,NA,19.23149,19.3244
NAM,Sub-Saharan Africa,4869.37837276379,2314904,NA,NA,NA,NA
NCL,East Asia & Pacific,NA,272400,NA,NA,NA,NA
NER,Sub-Saharan Africa,484.238632609296,20001663,NA,4.49467992782593,19.43599,13.72503
NGA,Sub-Saharan Africa,2687.48014545225,181137448,NA,NA,NA,NA
NIC,Latin America & Caribbean,2049.84968976149,6223240,82.6145477294922,4.07843017578125,NA,NA
NLD,Europe & Central Asia,45175.2318933798,16939923,NA,5.34815979003906,91.8882,93.23838
NOR,Europe & Central Asia,74355.5158575643,5188607,NA,7.5693302154541,95.03477,95.91824
NPL,South Asia,792.552890593381,27015031,NA,3.70358991622925,NA,NA
NRU,East Asia & Pacific,6956.25380055393,12475,NA,NA,NA,NA
NZL,East Asia & Pacific,38615.9951849093,4595700,NA,6.33738994598389,94.41834,96.27579
OED,Aggregates,35612.0757073658,1327822047,NA,5.10685014724731,87.86963,89.09883
OMN,Middle East & North Africa,16028.6115221739,4267348,93.0386123657227,NA,93.07646,93.90357
PAN,Latin America & Caribbean,13630.3079737945,3968487,NA,NA,67.45334,72.08741
PER,Latin America & Caribbean,6229.10169612596,30470734,94.1623382568359,3.96933007240295,78.41994,79.97777
PYF,East Asia & Pacific,NA,273124,NA,NA,NA,NA
PNG,East Asia & Pacific,2679.34558891149,8107775,NA,NA,NA,NA
PHL,East Asia & Pacific,3001.0403710761602,102113212,98.1825485229492,NA,60.15612,71.3301
PAK,South Asia,1356.66775582649,199426964,NA,2.6500198841095,38.43958,30.4412
POL,Europe & Central Asia,12578.4954734362,37986412,NA,4.81226015090942,92.32144,93.03199
PRI,Latin America & Caribbean,29763.4883013861,3473232,NA,NA,78.1234,84.86527
PSE,Middle East & North Africa,3272.15432360708,4270092,96.6907272338867,5.14135980606079,80.08355,87.5119
PRT,Europe & Central Asia,19242.3664710981,10358076,NA,4.88554000854492,NA,NA
PLW,East Asia & Pacific,15876.4619303708,17665,96.5937423706055,NA,NA,NA
PRY,Latin America & Caribbean,5406.70385708338,6688746,95.5548400878906,NA,NA,NA
QAT,Middle East & North Africa,63039.063486422,2565710,NA,NA,NA,NA
ROU,Europe & Central Asia,8969.14892146193,19815616,NA,3.10676002502441,84.11436,85.00035
SRB,Europe & Central Asia,5588.98072768556,7095383,NA,3.78902006149292,93.03019,94.5781
RUS,Europe & Central Asia,9313.01362484996,144096870,NA,3.83402991294861,NA,NA
RWA,Sub-Saharan Africa,751.639369748452,11369071,NA,3.63233995437622,25.99671,30.19663
SST,Aggregates,11749.0432443845,38526747,86.4052124023438,NA,57.07453,58.15793
PSS,Aggregates,3841.59948683011,2355672,91.0159912109375,NA,NA,NA
